City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
152,Wilmington,US,84.94,few clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
156,Russell,US,83.35,overcast clouds,32.3502,-85.1999,Macs
162,Porto Novo,BJ,80.42,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
163,Fiumicino,IT,76.48,scattered clouds,41.7675,12.2291,Al Porticciolo Hotel
169,Uniontown,US,85.21,overcast clouds,39.9001,-79.7164,Fairfield Inn by Marriott Uniontown
173,Broome,US,77.02,clear sky,42.2506,-75.833,Chenango Valley State Park
176,Quang Ngai,VN,75.7,heavy intensity rain,15.1167,108.8,Central Hotel
179,Faanui,PF,77.85,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
181,San Blas,MX,89.49,overcast clouds,21.5167,-105.2667,Hotel Posada del Rey
184,Pacific Grove,US,78.8,clear sky,36.6177,-121.9166,Lovers Point Inn
185,Iznik,TR,78.75,clear sky,40.4286,29.7211,Hotel Zeytin Bahcesi
187,Shasta Lake,US,76.08,clear sky,40.6804,-122.3708,Shasta Dam Motel
191,Boa Vista,BR,89.58,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
195,Acarau,BR,85.08,scattered clouds,-2.8856,-40.12,castelo pizzaria
197,Buala,SB,78.31,light rain,-8.145,159.5921,Maringe Lagoon Lodge
202,Manado,ID,75.97,scattered clouds,1.487,124.8455,Aryaduta Hotel
206,Gat,IL,81.39,clear sky,31.61,34.7642,OlusHome
207,Hami,CN,80.08,broken clouds,42.8,93.45,Laoyutang Resort
208,Pachino,IT,83.61,scattered clouds,36.7186,15.0907,Pietra Bianca B&B
210,Praia,CV,86.54,scattered clouds,14.9215,-23.5087,LT Aparthotel
215,Zaria,NG,80.44,broken clouds,11.1113,7.7227,Nubapoly Guest Inn
223,Tanda,IN,82.76,overcast clouds,26.55,82.65,MUMTAZ GANJ TANDA
226,Cayenne,GF,86.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
227,Lake Havasu City,US,88.41,clear sky,34.4839,-114.3224,Heat Hotel
233,Farroupilha,BR,78.64,scattered clouds,-29.225,-51.3478,Adoro Hotel
235,Pahrump,US,81.25,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
237,Tarragona,ES,76.84,few clouds,41.129,1.249,Hotel SB Ciutat de Tarragona
239,Arraial Do Cabo,BR,78.76,few clouds,-22.9661,-42.0278,Pousada Porto Praia
246,Sur,OM,85.46,clear sky,22.5667,59.5289,Sur Plaza Hotel
247,Harper,LR,79.34,overcast clouds,4.375,-7.7169,Screensaver
251,Ugoofaaru,MV,82.72,overcast clouds,5.6667,73.0,Ungoofaaru Inn
252,Raipur,IN,77.14,haze,21.2333,81.6333,The Blue Moon(Now Closed)
254,Vung Tau,VN,79.41,overcast clouds,10.346,107.0843,Green hotel
255,Veraval,IN,80.91,broken clouds,20.9,70.3667,Lords Inn Somnath
258,Port Blair,IN,80.76,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
263,Methoni,GR,81.21,clear sky,36.8197,21.7049,Methoni Beach Hotel
266,Guerrero Negro,MX,76.77,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
269,Mandiana,GN,82.83,scattered clouds,10.6333,-8.6833,Motels rouzo
272,Lucapa,AO,81.25,broken clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
278,Diu,IN,79.79,broken clouds,20.7141,70.9822,Hotel Relax Inn
279,Vila Velha,BR,80.55,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
280,Lubao,PH,80.62,overcast clouds,14.9167,120.55,Hacienda Gracia
285,Kutum,SD,85.12,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
288,Dapaong,TG,83.73,scattered clouds,10.8639,0.205,Hotel Caroli
293,Morant Bay,JM,87.42,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
299,Karratha,AU,80.8,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
301,Papar,MY,77.0,moderate rain,5.7333,115.9333,Koposizon Homestay
306,Mayo,US,81.21,broken clouds,38.8876,-76.5119,Resorts Resource Group International
307,Hearst,CA,80.85,clear sky,49.6835,-83.6665,Companion
309,Caravelas,BR,80.26,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
312,Hagonoy,PH,80.65,overcast clouds,14.8321,120.7336,Adriano Residences
