City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
143,La Romana,DO,18.4273,-68.9728,89.96,62,40,5.75,scattered clouds
144,Hithadhoo,MV,-0.6,73.0833,83.95,71,44,10.94,scattered clouds
145,Tadine,NC,-21.55,167.8833,69.13,65,85,12.77,overcast clouds
146,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,78,40,15.9,scattered clouds
147,Berezovyy,RU,51.6667,135.7,45.73,84,2,5.57,clear sky
148,Nuuk,GL,64.1835,-51.7216,36.21,69,75,11.5,broken clouds
149,Leningradskiy,RU,69.3833,178.4167,19.63,85,99,10.22,overcast clouds
150,Port-Gentil,GA,-0.7193,8.7815,80.56,74,40,14.97,scattered clouds
151,Paamiut,GL,61.994,-49.6678,36.1,79,10,29.42,clear sky
152,Wilmington,US,34.2257,-77.9447,84.94,73,20,18.41,few clouds
153,Tsaratanana,MG,-16.7833,47.65,68.27,71,20,10.25,few clouds
154,Tatarsk,RU,55.219,75.9828,38.48,97,99,13.67,overcast clouds
155,Parrita,CR,9.5201,-84.3225,97.99,71,26,6.17,scattered clouds
156,Russell,US,32.3502,-85.1999,83.35,72,90,0.0,overcast clouds
157,Novikovo,RU,51.1537,37.8879,52.36,71,99,5.17,overcast clouds
158,San Quintin,MX,30.4833,-115.95,73.11,63,0,6.13,clear sky
159,Tasiilaq,GL,65.6145,-37.6368,39.36,66,100,7.45,overcast clouds
160,New Norfolk,AU,-42.7826,147.0587,44.1,66,70,1.99,broken clouds
161,Longyearbyen,SJ,78.2186,15.6401,40.84,93,75,0.0,light rain
162,Porto Novo,BJ,6.4965,2.6036,80.42,81,45,7.56,scattered clouds
163,Fiumicino,IT,41.7675,12.2291,76.48,73,40,9.22,scattered clouds
164,Sitka,US,57.0531,-135.33,55.29,67,90,21.85,heavy intensity rain
165,Sorland,NO,67.667,12.6934,50.07,72,90,21.5,overcast clouds
166,Paramonga,PE,-10.6667,-77.8333,65.73,71,46,10.56,scattered clouds
167,Sakaiminato,JP,35.55,133.2333,69.78,94,20,6.91,few clouds
168,North Bend,US,43.4065,-124.2243,62.13,82,1,0.0,clear sky
169,Uniontown,US,39.9001,-79.7164,85.21,41,94,1.01,overcast clouds
170,Churapcha,RU,62.0025,132.4325,34.68,91,99,5.32,overcast clouds
171,Sisophon,KH,13.5859,102.9737,74.88,94,100,3.49,light rain
172,Bayburt,TR,40.2589,40.2278,55.71,67,24,2.24,few clouds
